,load
0,21885.0
8,24514.0
16,25861.0
24,25901.0
32,25899.0
40,26199.0
48,26003.0
56,25772.0
64,25619.0
72,25492.0
80,25168.0
88,24859.0
96,24916.0
104,25338.0
112,27168.0
120,27715.0
128,26564.0
136,24801.0
144,23017.0
152,22320.0
160,21695.0
168,21358.0
176,20963.0
184,21185.0
192,22423.0
200,24877.0
208,26267.0
216,26317.0
224,26116.0
232,26228.0
240,25938.0
248,25782.0
256,25814.0
264,25906.0
272,25769.0
280,25760.0
288,25769.0
296,26397.0
304,27985.0
312,28454.0
320,27161.0
328,25099.0
336,23062.0
344,21541.0
352,20996.0
360,20512.0
368,20413.0
376,20752.0
384,21809.0
392,24095.0
400,25383.0
408,25354.0
416,25209.0
424,25682.0
432,25731.0
440,25645.0
448,25743.0
456,25883.0
464,25836.0
472,25785.0
480,26128.0
488,26045.0
496,27496.0
504,27884.0
512,26642.0
520,24890.0
528,23076.0
536,21654.0
544,21029.0
552,20405.0
560,20175.0
568,20452.0
576,21337.0
584,23315.0
592,24428.0
600,24899.0
608,25337.0
616,25627.0
624,25467.0
632,25226.0
640,25294.0
648,25381.0
656,25426.0
664,25339.0
672,25043.0
680,25291.0
688,26548.0
696,26996.0
704,26074.0
712,24876.0
720,22971.0
728,21519.0
736,21049.0
744,20551.0
752,20191.0
760,20255.0
768,20639.0
776,21468.0
784,21560.0
792,22370.0
800,22698.0
808,22606.0
816,22608.0
824,22486.0
832,22411.0
840,22580.0
848,22885.0
856,22890.0
864,23068.0
872,23866.0
880,25386.0
888,25943.0
896,25073.0
904,23827.0
912,22197.0
920,20733.0
928,19723.0
936,19081.0
944,18734.0
952,18637.0
960,18921.0
968,19608.0
976,19809.0
984,20647.0
992,21134.0
1000,20967.0
1008,20841.0
1016,20634.0
1024,20596.0
1032,20663.0
1040,20817.0
1048,21230.0
1056,21640.0
1064,22388.0
1072,24197.0
1080,24949.0
1088,24129.0
1096,22656.0
1104,21019.0
1112,19827.0
1120,19346.0
1128,19269.0
1136,19258.0
1144,19791.0
1152,20605.0
1160,22777.0
1168,24281.0
1176,25160.0
1184,25854.0
1192,26171.0
1200,25939.0
1208,25774.0
1216,25642.0
1224,25540.0
1232,25167.0
1240,24774.0
1248,24535.0
1256,25242.0
1264,27002.0
1272,27445.0
1280,26179.0
1288,24362.0
1296,22634.0
1304,21238.0
1312,20388.0
1320,19958.0
1328,19861.0
1336,20385.0
1344,21815.0
1352,24259.0
1360,25574.0
1368,25512.0
1376,25449.0
1384,25056.0
1392,24703.0
1400,24491.0
1408,24411.0
1416,24395.0
1424,24296.0
1432,24167.0
1440,24286.0
1448,24943.0
1456,26658.0
1464,27424.0
1472,26245.0
1480,24135.0
1488,22492.0
1496,21246.0
1504,20465.0
1512,20033.0
1520,19949.0
1528,20422.0
1536,21641.0
1544,23807.0
1552,25069.0
1560,25176.0
1568,24896.0
1576,24714.0
1584,24397.0
1592,24081.0
1600,23952.0
1608,23860.0
1616,23715.0
1624,23878.0
1632,24229.0
1640,25009.0
1648,26730.0
1656,27389.0
1664,26255.0
1672,24402.0
1680,22603.0
1688,21403.0
1696,20620.0
1704,20057.0
1712,19936.0
1720,20094.0
1728,21130.0
1736,23358.0
1744,24539.0
1752,24748.0
1760,24601.0
1768,24303.0
1776,23838.0
1784,23528.0
1792,23495.0
1800,23544.0
1808,23575.0
1816,23845.0
1824,24255.0
1832,24889.0
1840,26504.0
1848,27228.0
1856,26361.0
1864,24585.0
1872,22607.0
1880,21103.0
1888,20262.0
1896,19877.0
1904,19796.0
1912,20186.0
1920,21451.0
1928,23596.0
1936,24814.0
1944,25164.0
1952,25189.0
1960,24913.0
1968,24710.0
1976,24427.0
1984,24481.0
1992,24503.0
2000,24412.0
2008,24354.0
2016,24542.0
2024,25048.0
2032,26319.0
2040,26946.0
2048,26211.0
2056,24684.0
2064,22908.0
2072,21515.0
2080,20688.0
2088,20119.0
2096,19960.0
2104,20196.0
2112,20437.0
2120,21358.0
2128,21657.0
2136,22119.0
2144,22719.0
2152,23065.0
2160,22798.0
2168,22861.0
2176,22853.0
2184,23003.0
2192,23172.0
2200,23418.0
2208,23630.0
2216,24204.0
2224,25465.0
2232,26045.0
2240,25163.0
2248,23782.0
2256,22186.0
2264,20922.0
2272,19958.0
2280,19324.0
2288,18973.0
2296,18902.0
2304,19192.0
2312,19728.0
2320,19858.0
2328,20713.0
2336,21520.0
2344,21749.0
2352,21797.0
2360,21829.0
2368,22013.0
2376,22421.0
2384,22846.0
2392,22870.0
2400,23478.0
2408,24190.0
2416,25485.0
2424,26289.0
2432,25254.0
2440,23488.0
2448,21667.0
2456,20475.0
2464,20100.0
2472,19820.0
2480,19792.0
2488,20131.0
2496,21195.0
2504,23140.0
2512,24409.0
2520,24827.0
2528,25241.0
2536,25663.0
2544,26024.0
2552,26178.0
2560,26546.0
2568,26830.0
2576,26845.0
2584,27089.0
2592,26986.0
2600,27072.0
2608,28111.0
2616,28524.0
2624,27173.0
2632,24869.0
2640,22568.0
2648,21251.0
2656,20562.0
2664,19991.0
2672,19852.0
2680,20197.0
2688,21215.0
2696,23523.0
2704,24781.0
2712,25136.0
2720,25348.0
2728,25731.0
2736,26014.0
2744,26272.0
2752,26903.0
2760,27469.0
2768,27949.0
2776,28104.0
2784,28423.0
2792,28283.0
2800,29099.0
2808,29564.0
2816,27996.0
2824,25698.0
2832,23412.0
2840,21827.0
2848,20793.0
2856,20510.0
2864,20275.0
2872,20297.0
2880,21505.0
2888,23709.0
2896,24929.0
2904,25696.0
2912,26176.0
2920,26794.0
2928,27457.0
2936,28082.0
2944,28587.0
2952,28918.0
2960,29372.0
2968,29468.0
2976,29150.0
2984,28917.0
2992,29660.0
3000,29940.0
3008,28423.0
3016,26206.0
3024,24031.0
3032,22678.0
3040,21929.0
3048,21313.0
3056,21076.0
3064,21417.0
3072,22465.0
3080,24537.0
3088,25901.0
3096,26779.0
3104,27281.0
3112,27614.0
3120,27759.0
3128,27798.0
3136,27849.0
3144,27719.0
3152,27216.0
3160,26756.0
3168,26452.0
3176,26594.0
3184,27736.0
3192,28041.0
3200,26756.0
3208,25043.0
3216,23187.0
3224,21765.0
3232,21065.0
3240,20726.0
3248,20515.0
3256,20864.0
3264,21774.0
3272,23976.0
3280,25567.0
3288,26289.0
3296,26940.0
3304,27267.0
3312,27222.0
3320,26972.0
3328,26838.0
3336,26707.0
3344,26202.0
3352,25940.0
3360,25632.0
3368,25899.0
3376,26883.0
3384,27068.0
3392,26096.0
3400,24638.0
3408,22962.0
3416,21662.0
3424,20866.0
3432,20243.0
3440,19938.0
3448,19997.0
3456,20430.0
3464,21461.0
3472,21927.0
3480,22824.0
3488,23602.0
3496,24129.0
3504,24367.0
3512,24599.0
3520,24338.0
3528,24075.0
3536,23541.0
3544,23316.0
3552,23443.0
3560,23832.0
3568,24846.0
3576,25339.0
3584,24498.0
3592,23239.0
3600,22012.0
3608,21063.0
3616,20175.0
3624,19568.0
3632,19403.0
3640,19499.0
3648,19792.0
3656,20335.0
3664,20521.0
3672,21474.0
3680,22277.0
3688,22685.0
3696,22713.0
3704,22633.0
3712,22647.0
3720,22692.0
3728,22817.0
3736,22986.0
3744,23178.0
3752,23519.0
3760,24698.0
3768,25459.0
3776,24423.0
3784,23059.0
3792,21653.0
3800,20670.0
3808,20242.0
3816,19848.0
3824,19764.0
3832,20253.0
3840,21400.0
3848,23124.0
3856,24420.0
3864,24941.0
3872,25567.0
3880,25938.0
3888,26069.0
3896,25967.0
3904,25911.0
3912,25882.0
3920,25830.0
3928,25570.0
3936,25378.0
3944,25765.0
3952,26975.0
3960,27680.0
3968,26484.0
3976,24521.0
3984,22661.0
3992,21433.0
4000,20698.0
4008,20468.0
4016,20304.0
4024,20617.0
4032,21656.0
4040,23368.0
4048,24571.0
4056,25083.0
4064,25640.0
4072,26005.0
4080,25938.0
4088,25904.0
4096,26026.0
4104,25853.0
4112,25801.0
4120,26018.0
4128,26083.0
4136,26203.0
4144,26881.0
4152,27716.0
4160,26534.0
4168,24704.0
4176,22983.0
4184,21622.0
4192,20885.0
4200,20583.0
4208,20482.0
4216,20880.0
4224,22104.0
4232,23514.0
4240,24781.0
4248,25162.0
4256,25638.0
4264,25532.0
4272,25371.0
4280,25149.0
4288,25270.0
4296,25395.0
4304,25264.0
4312,25673.0
4320,25580.0
4328,25494.0
4336,26763.0
4344,27676.0
4352,26656.0
4360,24653.0
4368,22982.0
4376,21950.0
4384,21407.0
4392,20795.0
4400,20704.0
4408,21124.0
4416,22105.0
4424,23739.0
4432,24680.0
4440,25187.0
4448,25369.0
4456,25599.0
4464,25537.0
4472,25310.0
4480,25320.0
4488,25362.0
4496,25343.0
4504,25207.0
4512,25357.0
4520,25310.0
4528,26683.0
4536,27629.0
4544,26576.0
4552,24915.0
4560,23271.0
4568,21928.0
4576,21274.0
4584,20741.0
4592,20518.0
4600,20915.0
4608,22022.0
4616,23417.0
4624,24678.0
4632,25287.0
4640,25249.0
4648,25205.0
4656,25033.0
4664,24849.0
4672,24909.0
4680,24874.0
4688,24992.0
4696,25182.0
4704,25476.0
4712,25401.0
4720,26029.0
4728,27061.0
4736,25992.0
4744,24808.0
4752,23126.0
4760,21925.0
4768,20970.0
4776,20436.0
4784,20125.0
4792,20157.0
4800,20687.0
4808,21194.0
4816,21608.0
4824,22575.0
4832,22889.0
4840,23055.0
4848,23091.0
4856,23074.0
4864,23155.0
4872,23343.0
4880,23791.0
4888,24199.0
4896,24613.0
4904,25005.0
4912,25820.0
4920,26632.0
4928,25653.0
4936,24186.0
4944,22539.0
4952,21383.0
4960,20556.0
4968,19921.0
4976,19567.0
4984,19492.0
4992,19705.0
5000,19800.0
5008,20017.0
5016,20822.0
5024,21422.0
5032,21889.0
5040,22304.0
5048,22676.0
5056,23109.0
5064,23504.0
5072,24538.0
5080,25281.0
5088,25730.0
5096,26242.0
5104,26991.0
5112,27738.0
5120,26556.0
5128,24627.0
5136,22522.0
5144,21424.0
5152,20765.0
5160,20284.0
5168,20169.0
5176,20607.0
5184,21875.0
5192,23789.0
5200,25124.0
5208,25938.0
5216,26632.0
5224,27355.0
5232,28055.0
5240,28540.0
5248,29392.0
5256,29917.0
5264,30541.0
5272,31099.0
5280,31203.0
5288,30825.0
5296,30917.0
5304,31142.0
5312,29441.0
5320,26753.0
5328,24266.0
5336,22779.0
5344,21781.0
5352,21252.0
5360,21149.0
5368,21551.0
5376,22507.0
5384,23965.0
5392,25252.0
5400,26043.0
5408,26818.0
5416,27629.0
5424,28281.0
5432,28941.0
5440,29563.0
5448,30312.0
5456,31142.0
5464,31529.0
5472,31422.0
5480,31015.0
5488,31081.0
5496,31684.0
5504,29706.0
5512,27043.0
5520,24562.0
5528,22896.0
5536,21894.0
5544,21164.0
5552,21019.0
5560,21141.0
5568,22153.0
5576,23893.0
5584,25115.0
5592,25773.0
5600,26677.0
5608,27247.0
5616,27808.0
5624,28224.0
5632,28813.0
5640,29188.0
5648,29846.0
5656,30273.0
5664,30460.0
5672,30279.0
5680,30198.0
5688,30844.0
5696,29985.0
5704,28039.0
5712,24517.0
