,OT
0,30.5310001373291
1,30.459999084472656
2,30.038000106811523
3,27.01300048828125
4,27.78700065612793
5,27.71699905395508
6,27.645999908447266
7,27.083999633789062
8,27.78700065612793
9,27.506000518798828
10,27.85700035095215
11,27.01300048828125
12,25.04400062561035
13,24.55100059509277
14,23.56599998474121
15,21.525999069213867
16,21.947999954223643
17,21.45599937438965
18,22.79199981689453
19,21.03400039672852
20,21.173999786376953
21,20.82299995422364
22,21.173999786376953
23,21.173999786376953
24,22.79199981689453
25,23.847999572753903
26,24.34000015258789
27,23.143999099731445
28,23.143999099731445
29,23.77700042724609
30,23.847999572753903
31,23.988000869750977
32,21.66699981689453
33,22.089000701904297
34,22.3700008392334
35,16.391000747680664
36,17.445999145507812
37,17.726999282836914
38,18.500999450683594
39,19.274999618530273
40,19.979000091552734
41,18.500999450683594
42,18.57200050354004
43,19.416000366210938
44,20.118999481201172
45,19.76799964904785
46,19.76799964904785
47,20.32999992370605
48,19.20499992370605
49,17.726999282836914
50,18.642000198364254
51,18.500999450683594
52,18.57200050354004
53,19.69700050354004
54,19.55599975585937
55,19.83799934387207
56,19.55599975585937
57,19.416000366210938
58,19.13400077819824
59,17.02400016784668
60,17.305000305175778
61,18.78300094604492
62,18.85300064086914
63,19.20499992370605
64,19.48600006103516
65,19.62700080871582
66,18.43099975585937
67,19.76799964904785
68,19.13400077819824
69,20.75200080871582
70,19.76799964904785
71,20.68199920654297
72,20.68199920654297
73,19.83799934387207
74,19.20499992370605
75,19.416000366210938
76,18.71199989318848
77,17.868000030517578
78,18.21999931335449
79,18.500999450683594
80,17.868000030517578
81,18.21999931335449
82,17.868000030517578
83,17.868000030517578
84,18.009000778198242
85,18.36100006103516
86,18.642000198364254
87,18.009000778198242
88,18.009000778198242
89,17.586999893188473
90,18.290000915527344
91,19.416000366210938
92,19.76799964904785
93,20.75200080871582
94,21.315000534057617
95,21.878000259399418
96,21.104000091552734
97,21.104000091552734
98,21.38500022888184
99,21.173999786376953
100,19.69700050354004
101,20.541000366210938
102,19.76799964904785
103,19.83799934387207
104,20.048999786376953
105,21.03400039672852
106,19.979000091552734
107,20.32999992370605
108,20.75200080871582
109,20.47100067138672
110,21.173999786376953
111,20.82299995422364
112,21.38500022888184
113,21.03400039672852
114,20.89299964904785
115,20.75200080871582
116,22.229999542236328
117,21.173999786376953
118,20.400999069213867
119,20.26000022888184
120,20.26000022888184
121,19.13400077819824
122,20.32999992370605
123,20.89299964904785
124,21.104000091552734
125,19.274999618530273
126,19.06399917602539
127,20.26000022888184
128,20.61199951171875
129,18.85300064086914
130,19.69700050354004
131,18.21999931335449
132,18.36100006103516
133,19.274999618530273
134,21.315000534057617
135,21.525999069213867
136,20.96299934387207
137,19.06399917602539
138,18.21999931335449
139,19.274999618530273
140,19.416000366210938
141,19.979000091552734
142,21.173999786376953
143,21.03400039672852
144,20.82299995422364
145,20.47100067138672
146,20.96299934387207
147,21.525999069213867
148,20.190000534057617
149,18.36100006103516
150,18.642000198364254
151,20.47100067138672
152,21.315000534057617
153,21.66699981689453
154,20.541000366210938
155,21.808000564575195
156,22.018999099731445
157,21.525999069213867
158,20.47100067138672
159,20.118999481201172
160,20.68199920654297
161,22.229999542236328
162,23.707000732421875
163,24.972999572753903
164,25.465999603271484
165,25.816999435424805
166,26.02799987792969
167,26.02799987792969
168,25.88800048828125
169,26.309999465942383
170,27.645999908447266
171,27.295000076293945
172,27.85700035095215
173,27.71699905395508
174,27.645999908447266
175,27.71699905395508
176,27.295000076293945
177,26.73200035095215
178,24.05900001525879
179,22.933000564575195
180,22.229999542236328
181,22.089000701904297
182,21.73699951171875
183,21.173999786376953
184,21.947999954223643
185,23.636999130249023
186,25.2549991607666
187,26.66200065612793
188,27.295000076293945
189,28.138999938964844
190,28.35000038146973
191,29.05299949645996
192,29.334999084472656
193,28.77199935913086
194,27.506000518798828
195,26.16900062561035
196,26.02799987792969
197,25.95800018310547
198,26.09900093078613
199,25.95800018310547
200,24.34000015258789
201,22.72200012207031
202,22.933000564575195
203,24.832000732421875
204,26.45000076293945
205,27.01300048828125
