,0.525486
0,0.523972
1,0.526316
2,0.523834
3,0.527426
4,0.526177
5,0.527565
6,0.527565
7,0.528123
8,0.528123
9,0.529381
10,0.529101
11,0.532765
12,0.532056
13,0.53135
14,0.533049
15,0.532623
16,0.534188
17,0.535045
18,0.537201
19,0.536481
20,0.536193
21,0.535475
22,0.535906
23,0.538503
24,0.537779
25,0.536769
26,0.536337
27,0.536625
28,0.535906
29,0.536625
30,0.536193
31,0.535045
32,0.537634
33,0.537346
34,0.536481
35,0.535906
36,0.536193
37,0.536049
38,0.535619
39,0.533333
40,0.533333
41,0.534045
42,0.533903
43,0.533476
44,0.533618
45,0.534045
46,0.533618
47,0.532623
48,0.533333
49,0.533333
50,0.533618
51,0.533618
52,0.533476
53,0.532056
54,0.53135
55,0.531773
56,0.530926
57,0.530786
58,0.529801
59,0.530082
60,0.530363
61,0.530223
62,0.530645
63,0.531915
64,0.532481
65,0.533191
66,0.532765
67,0.531915
68,0.532623
69,0.532765
70,0.532765
71,0.532765
72,0.532198
73,0.532056
74,0.533333
75,0.533333
76,0.532623
77,0.532056
78,0.532623
79,0.532623
80,0.532623
81,0.532765
82,0.533049
83,0.533333
84,0.532623
85,0.533049
86,0.533049
87,0.534902
88,0.535619
89,0.536769
90,0.540249
91,0.540394
92,0.540687
93,0.539374
94,0.53952
95,0.539432
96,0.539316
97,0.539258
98,0.540541
99,0.541126
100,0.541126
101,0.541712
102,0.540979
103,0.539374
104,0.539374
105,0.539374
106,0.540249
107,0.540833
108,0.540716
109,0.540687
110,0.539957
111,0.540833
112,0.540979
113,0.540979
114,0.540541
115,0.540833
116,0.542741
117,0.542741
118,0.542741
119,0.542741
120,0.542446
121,0.542005
122,0.542005
123,0.543183
124,0.543183
125,0.545703
126,0.545554
127,0.545852
128,0.54615
129,0.548697
130,0.550206
131,0.551876
132,0.549602
133,0.550206
134,0.550206
135,0.550206
136,0.552486
137,0.550509
138,0.550509
139,0.55142
140,0.55057
141,0.549149
142,0.548998
143,0.549753
144,0.551876
145,0.553403
146,0.55371
147,0.552944
148,0.552792
149,0.554324
150,0.554324
151,0.55325
152,0.55371
153,0.553863
154,0.555864
155,0.556174
156,0.556793
157,0.556793
158,0.558347
159,0.558659
160,0.558815
161,0.559597
162,0.56338
163,0.562588
164,0.563539
165,0.566893
166,0.566893
167,0.566572
168,0.566572
169,0.566893
170,0.572082
171,0.568505
172,0.562493
173,0.565131
174,0.565291
175,0.564653
176,0.561167
177,0.564334
178,0.566412
179,0.566251
180,0.566412
181,0.566091
182,0.565131
183,0.565931
184,0.565931
185,0.565931
186,0.567054
187,0.566412
188,0.567859
189,0.567698
190,0.569314
191,0.571265
192,0.571919
193,0.578035
194,0.577367
195,0.577201
196,0.578704
197,0.580046
198,0.580046
199,0.582242
200,0.586166
201,0.583601
202,0.58548
203,0.584112
204,0.584454
205,0.586166
206,0.581395
207,0.585995
208,0.584624
209,0.586166
210,0.583942
211,0.585138
212,0.588062
213,0.58651
214,0.587372
215,0.585309
216,0.584112
217,0.584283
218,0.583601
219,0.584283
220,0.584966
221,0.584966
222,0.583431
223,0.585138
224,0.584966
225,0.585309
226,0.585995
227,0.583942
228,0.58072
229,0.58072
230,0.580383
231,0.581564
232,0.581903
233,0.582072
234,0.584283
235,0.58326
236,0.583431
237,0.584454
238,0.58309
239,0.582751
240,0.580552
241,0.578704
242,0.576037
243,0.573559
244,0.573559
245,0.569801
246,0.569963
247,0.573559
248,0.574713
249,0.573559
250,0.573394
251,0.570939
