,0.000000000000000000e+00.136
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.05
43,1.3
44,5.0
45,7.0
46,8.9
47,10.6
48,11.95
49,12.85
50,10.75
51,8.4
52,5.35
53,0.8
54,1.35
55,6.3
56,8.3
57,7.55
58,3.35
59,5.75
60,6.199999999999999
61,6.15
62,6.75
63,7.7
64,7.5
65,7.75
66,7.6
67,8.55
68,13.1
69,19.05
70,21.75
71,21.8
72,24.0
73,24.6
74,25.75
75,26.5
76,25.9
77,25.7
78,23.45
79,20.6
80,16.85
81,18.299999999999997
82,19.2
83,21.05
84,12.85
85,17.6
86,14.75
87,12.45
88,9.6
89,6.8
90,2.95
91,0.55
92,0.05
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.1
187,1.95
188,1.55
189,4.45
190,0.7000000000000001
191,0.2
192,0.35
193,10.45
194,8.05
195,8.25
196,7.8
197,7.050000000000001
198,17.55
199,19.45
200,17.4
201,19.25
202,15.6
203,9.25
204,14.85
205,1.15
206,4.25
207,9.35
208,6.85
209,20.2
210,20.65
211,11.85
212,13.75
213,15.25
214,16.25
215,17.65
216,16.05
217,23.45
218,28.849999999999994
219,25.05
220,19.45
221,27.1
222,25.5
223,26.65
224,25.95
225,25.35
226,25.3
227,24.6
228,23.25
229,20.9
230,19.75
231,19.5
232,19.7
233,18.05
234,15.85
235,14.149999999999999
236,11.85
237,9.3
238,7.1
239,4.5
240,0.9
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.05
331,1.25
332,5.4
333,7.65
334,9.75
335,11.75
336,13.45
337,14.399999999999999
338,15.05
339,14.3
340,14.25
341,13.899999999999999
342,13.25
343,14.0
344,16.9
345,20.6
346,23.3
347,26.35
348,28.55
349,28.3
350,11.05
351,9.5
352,11.45
353,10.85
354,9.15
355,25.1
356,25.5
357,21.15
358,31.0
359,23.05
360,6.8
361,6.75
362,13.1
363,18.95
364,23.9
365,28.15
366,30.65
367,30.85
368,28.7
369,25.7
370,25.5
371,26.6
372,24.65
373,24.05
374,22.6
375,21.25
376,19.7
377,18.0
378,16.4
379,14.649999999999999
380,12.35
381,10.25
382,8.3
383,6.2
384,3.0
385,0.05
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.05
475,3.05
476,6.25
477,8.5
478,11.0
479,13.25
480,15.5
481,17.35
482,19.1
483,20.9
484,22.299999999999997
485,23.8
486,24.799999999999997
487,25.45
488,25.9
489,27.1
490,28.2
491,29.549999999999997
492,30.55
493,30.8
494,30.9
495,31.35
496,31.75
497,31.85
498,32.35
499,33.2
500,33.2
501,32.9
502,33.2
503,33.3
504,33.349999999999994
505,30.95
506,31.65
507,32.400000000000006
508,31.95
509,30.8
510,29.35
511,28.25
512,27.2
513,26.049999999999997
514,25.0
515,24.2
516,22.65
517,19.65
518,16.55
519,14.55
520,12.05
521,9.2
522,8.45
523,12.2
524,8.100000000000001
525,8.1
526,6.15
527,1.3
528,0.3
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
