,% Observed
0,62.8
1,67.0
2,68.0
3,68.0
4,67.8
5,67.7
6,67.6
7,67.6
8,67.8
9,67.8
10,67.7
11,67.7
12,67.6
13,67.4
14,67.6
15,67.6
16,67.7
17,67.7
18,67.8
19,67.7
20,67.7
21,67.6
22,67.7
23,65.1
24,64.1
25,68.1
26,69.1
27,69.1
28,69.0
29,68.9
30,68.8
31,68.7
32,68.9
33,68.9
34,68.7
35,68.7
36,68.5
37,68.6
38,68.6
39,68.6
40,58.2
41,68.6
42,68.8
43,68.8
44,68.9
45,68.7
46,68.8
47,68.9
48,67.3
49,69.3
50,69.3
51,69.3
52,69.2
53,69.1
54,69.0
55,68.9
56,68.7
57,69.0
58,68.9
59,69.0
60,69.0
61,68.9
62,68.9
63,68.9
64,68.9
65,68.9
66,68.9
67,68.9
68,68.9
69,68.8
70,68.8
71,68.8
72,66.8
73,69.0
74,69.1
75,68.7
76,68.7
77,68.6
78,68.5
79,68.4
80,68.7
81,67.5
82,65.0
83,65.0
84,66.4
85,68.7
86,68.8
87,68.7
88,67.1
89,52.5
90,65.7
91,68.7
92,68.7
93,68.8
94,68.9
95,68.9
96,67.1
97,69.1
98,69.0
99,68.9
100,68.0
101,68.7
102,62.9
103,60.9
104,67.3
105,68.8
106,68.6
107,68.5
108,68.4
109,68.5
110,68.3
111,68.2
112,68.3
113,68.4
114,57.0
115,68.5
116,68.5
117,68.6
118,68.6
119,68.4
120,67.4
121,69.5
122,69.4
123,69.3
124,69.2
125,67.7
126,67.6
127,68.3
128,69.0
129,69.0
130,69.0
131,68.8
132,68.9
133,68.8
134,68.9
135,68.8
136,68.9
137,69.0
138,69.0
139,69.0
140,69.0
141,69.0
142,69.1
143,69.2
144,58.4
145,67.8
146,69.2
147,69.1
148,68.9
149,68.8
150,68.7
151,68.7
152,68.9
153,68.9
154,68.6
155,68.1
156,68.1
157,68.2
158,68.1
159,68.3
160,68.3
161,68.3
162,68.3
163,67.4
164,65.3
165,67.4
166,68.4
167,68.4
168,67.8
169,68.9
170,68.9
171,68.7
172,66.7
173,68.3
174,68.3
175,68.4
176,68.6
177,68.6
178,68.6
179,68.6
180,68.4
181,68.4
182,68.6
183,68.6
184,68.6
185,68.5
186,68.6
187,68.6
188,68.6
189,68.5
190,68.6
191,68.6
192,67.1
193,69.1
194,69.2
195,69.2
196,69.1
197,69.0
198,68.8
199,68.7
200,68.9
201,69.0
202,68.9
203,68.9
204,68.8
205,68.7
206,68.7
207,68.7
208,68.7
209,68.6
210,68.7
211,68.8
212,68.8
213,68.7
214,68.7
215,68.9
216,67.2
217,68.3
218,68.2
219,68.3
220,68.0
221,67.9
222,67.7
223,67.8
224,67.9
225,67.6
226,67.5
227,67.6
228,67.6
229,67.8
230,65.9
231,51.6
232,64.6
233,67.6
234,67.5
235,67.6
236,67.6
237,67.7
238,67.7
239,67.9
240,65.9
241,67.6
242,67.5
243,67.4
244,67.3
245,67.1
246,67.1
247,67.1
248,67.2
249,67.3
250,67.4
251,67.4
252,67.4
253,67.1
254,67.0
255,67.1
256,67.1
257,67.1
258,67.1
259,67.1
260,67.1
261,67.1
262,67.2
263,67.3
264,66.1
265,67.7
266,67.7
267,67.6
268,67.4
269,60.8
270,65.2
271,67.2
272,67.4
273,68.0
274,68.6
275,68.5
276,68.5
277,68.2
278,66.0
279,68.1
280,68.0
281,68.0
282,68.0
283,67.9
284,67.9
285,67.8
286,68.0
287,68.1
288,66.9
289,67.7
290,67.8
291,67.7
292,67.5
293,67.2
294,67.0
295,67.0
296,68.0
297,68.2
298,68.3
299,55.3
300,51.0
301,66.7
302,68.2
303,68.1
304,68.1
305,68.2
306,68.3
307,68.2
308,68.2
309,68.3
310,68.3
311,68.4
312,67.1
313,67.8
314,67.6
315,67.5
316,67.6
317,67.5
318,67.5
319,67.9
320,68.8
321,69.0
322,68.6
323,68.5
324,68.4
325,58.4
326,67.8
327,67.3
328,68.5
329,68.6
330,68.6
331,68.5
332,68.4
333,68.4
334,68.5
335,67.9
336,67.6
337,68.8
338,68.8
339,68.8
340,68.6
341,68.5
342,68.4
343,68.5
344,69.4
345,69.4
346,69.4
347,69.2
348,69.1
349,69.3
350,69.3
351,69.3
352,69.3
353,69.3
354,69.3
355,69.3
356,69.3
357,69.3
358,69.3
359,69.4
360,67.7
361,68.9
362,68.9
363,68.9
364,68.8
365,68.7
366,68.6
367,68.5
368,68.5
369,68.5
370,68.4
371,68.3
372,68.3
373,68.3
374,68.4
375,68.4
376,68.3
377,68.3
378,68.4
379,68.4
380,68.5
381,68.5
382,68.5
383,68.5
384,67.2
385,69.0
386,69.1
387,69.1
388,68.5
389,68.8
390,68.8
391,68.8
392,68.7
393,68.7
394,68.7
395,68.7
396,68.6
397,68.6
398,68.5
399,68.6
400,66.9
401,68.1
402,68.6
403,68.7
404,68.5
405,68.6
406,68.6
407,68.7
408,66.6
409,68.5
410,68.4
411,68.3
412,68.2
413,67.4
414,67.9
415,68.4
416,69.0
417,69.0
418,69.0
419,68.8
420,68.9
421,68.8
422,68.7
423,68.7
424,68.6
425,68.7
426,68.7
427,68.7
428,68.6
429,68.7
430,68.7
431,68.8
432,67.3
433,68.5
434,68.5
435,68.4
436,68.2
437,68.1
438,68.0
439,68.5
440,68.9
441,68.9
442,66.0
443,67.5
444,69.0
445,68.9
446,68.9
447,68.8
448,68.7
449,68.9
450,68.8
451,68.9
452,68.9
453,68.7
454,68.8
455,68.7
456,67.4
457,68.6
458,68.5
459,68.3
460,68.1
461,67.9
462,67.8
463,67.3
464,68.1
465,68.4
466,68.3
467,56.1
468,69.0
469,69.3
470,69.1
471,69.1
472,69.1
473,69.1
474,69.2
475,69.2
476,68.6
477,69.1
478,69.0
479,69.1
480,67.3
481,68.3
482,68.2
483,68.3
484,68.1
485,68.0
486,67.8
487,68.3
488,69.1
489,69.3
490,69.2
491,69.2
492,68.7
493,69.1
494,69.1
495,68.7
496,68.4
497,68.5
498,68.5
499,68.9
500,69.1
501,69.2
502,69.0
503,66.8
504,66.3
505,68.7
506,68.7
507,68.6
508,68.4
509,67.9
510,67.9
511,68.0
512,68.2
513,68.3
514,66.9
515,68.2
516,68.2
517,68.1
518,68.1
519,68.2
520,68.1
521,68.2
522,68.2
523,68.2
524,68.2
525,68.1
526,68.3
527,68.3
528,62.0
529,61.9
530,62.0
531,63.0
532,62.6
533,68.7
534,68.5
535,68.5
536,68.6
537,68.7
538,68.4
539,68.3
540,68.3
541,68.4
542,68.5
543,68.5
544,68.6
545,68.5
546,68.4
547,68.4
548,68.3
549,68.4
550,68.5
551,68.6
552,67.1
553,68.9
554,68.5
555,68.6
556,68.5
557,68.5
558,68.4
559,68.4
560,68.6
561,68.6
562,68.4
563,68.4
564,68.4
565,68.3
566,68.3
567,68.2
568,68.2
569,68.4
570,68.5
571,68.5
572,68.5
573,68.5
574,68.7
575,68.7
576,66.5
577,68.3
578,68.3
579,68.3
580,68.2
581,68.1
582,68.0
583,68.0
584,68.2
585,68.2
586,68.2
587,68.2
588,68.0
589,67.9
590,67.9
591,67.9
592,67.9
593,67.9
594,68.0
595,68.0
596,68.0
597,68.0
598,68.1
599,68.2
600,67.0
601,68.7
602,68.7
603,68.7
604,68.5
605,68.3
606,68.2
607,65.2
608,65.1
609,68.5
610,68.4
611,68.4
612,65.8
613,68.5
614,68.5
615,68.5
616,68.4
617,68.5
618,68.4
619,68.3
620,68.3
621,68.3
622,68.2
623,65.2
624,59.5
625,68.6
626,68.6
627,68.6
628,68.4
629,68.4
630,68.3
631,68.3
632,68.4
633,68.4
634,68.4
635,68.4
636,68.4
637,67.9
638,68.5
639,66.7
640,66.6
641,66.2
642,66.8
643,66.9
644,66.5
645,67.0
646,66.9
647,66.9
648,63.9
649,66.1
650,66.1
651,66.2
652,65.5
653,66.0
654,65.9
655,66.0
656,65.6
657,66.2
658,66.1
659,66.1
660,65.5
661,67.6
662,67.6
663,67.5
664,67.5
665,67.5
666,67.5
667,67.5
668,67.4
669,67.4
670,67.5
671,67.5
672,66.0
673,67.8
674,67.8
675,67.7
676,67.6
677,67.5
678,66.6
679,67.4
680,67.5
681,67.6
682,67.6
683,67.5
684,67.5
685,67.7
686,68.4
687,68.4
688,68.4
689,68.5
690,68.5
691,68.3
692,68.4
693,68.3
694,68.3
695,68.4
696,67.3
697,69.3
698,69.4
