,target
0,1.857
1,2.218
2,2.571
3,2.795
4,4.024
5,3.62
6,3.663
7,5.087
8,5.044
9,4.207
10,1.669
11,0.645
12,0.341
13,0.041
14,0.122
15,0.862
16,2.187
17,1.267
18,0.8859999999999999
19,0.752
20,0.889
21,1.175
22,0.7340000000000001
23,0.26
24,-0.049
25,-0.109
26,-0.127
27,-0.149
28,-0.173
29,-0.171
30,-0.155
31,-0.178
32,-0.19
33,-0.177
34,-0.1689999999999999
35,-0.177
36,-0.1639999999999999
37,-0.136
38,-0.162
39,-0.125
40,-0.132
41,-0.163
42,-0.196
43,-0.142
44,-0.133
45,-0.162
46,-0.145
47,-0.104
48,-0.157
49,-0.144
50,-0.151
51,-0.139
52,-0.153
53,-0.14
54,-0.141
55,-0.151
56,-0.173
57,-0.168
58,-0.156
59,-0.094
60,-0.151
61,-0.145
62,-0.068
63,1.124
64,1.436
65,0.955
66,0.7070000000000001
67,1.814
68,1.749
69,1.881
70,2.122
71,1.509
72,1.371
73,0.843
74,0.856
75,0.962
76,1.198
77,0.804
78,0.5579999999999999
79,-0.166
80,-0.185
81,-0.175
82,-0.1639999999999999
83,-0.1639999999999999
84,-0.136
85,-0.118
86,-0.161
87,-0.155
88,-0.156
89,-0.139
90,-0.165
91,-0.181
92,-0.1669999999999999
93,-0.168
94,-0.145
95,-0.171
96,-0.166
97,-0.183
98,-0.177
99,-0.156
100,-0.187
101,-0.172
102,-0.211
103,-0.151
104,-0.219
105,-0.163
106,-0.1639999999999999
107,-0.141
108,-0.205
109,-0.185
110,-0.161
111,-0.18
112,-0.141
113,-0.187
114,-0.177
115,-0.232
116,-0.205
117,-0.176
118,-0.228
119,1.411
120,0.807
121,1.142
122,1.122
123,2.077
124,1.815
125,2.104
126,4.537
127,5.283
128,5.375
129,5.362
130,5.074
131,3.964
132,3.325
133,2.7510000000000003
134,1.144
135,0.092
136,-0.03
137,-0.108
138,-0.114
139,0.384
140,1.493
141,1.491
142,2.137
143,3.447
144,2.0
145,1.3630000000000002
146,1.969
147,1.755
148,2.253
149,2.22
150,2.333
151,2.21
152,2.63
153,2.823
154,2.394
155,1.374
156,0.425
157,-0.148
158,-0.197
159,-0.196
160,0.0
161,0.333
162,-0.046
163,-0.104
164,-0.124
165,-0.158
166,-0.132
167,-0.142
168,0.228
169,1.116
170,1.44
171,4.1389999999999985
172,5.709
173,8.326
174,10.422
175,9.274
176,10.909
177,10.667
178,4.181
179,2.883
180,2.991
181,2.441
182,2.406
183,2.9760000000000004
184,1.841
185,1.497
186,1.484
187,1.789
188,1.069
189,0.914
190,1.239
191,1.124
192,0.8170000000000001
193,1.889
194,2.019
195,0.5920000000000001
196,2.084
197,2.81
198,2.627
199,1.895
200,3.58
201,4.75
202,4.292
203,7.4289999999999985
204,5.785
205,4.01
206,4.498
207,3.759
208,3.796
209,4.317
210,5.726
211,6.2010000000000005
212,4.973
213,5.098
214,5.143
215,4.922
216,6.416
217,6.3610000000000015
218,7.436
219,9.179
220,10.731
221,10.352
222,8.759
223,8.604
224,8.582
225,9.72
226,9.447
227,9.531
228,9.223
229,10.081
230,8.879
231,8.129
232,7.001
233,7.629
234,7.449
235,8.907
236,7.487
237,6.773
238,5.055
